Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Termination,Mounting Type,Package / Case,Lead Spacing,Size / Dimension,Height - Seated (Max),Operating Temperature
http://www.nesscap.com/common/download.jsp?dir=product&sfn=RUBRNXYRUQWPCAL.pdf,//media.digikey.com/photos/NessCap%20Photos/EMHSR-0001C5-005R0.JPG,589-1007-ND,EMHSR-0001C5-005R0,Maxwell Technologies Inc.,CAP 1.5F -10% +20% 5V T/H,12707,0,4.58,0,1,Bulk,EMHSR,Active,1.5F,"-10%, +20%",5V,143 mOhm,1000 Hrs @ 85°C,PC Pins,Through Hole,"Radial, Can","0.347"" (8.80mm)","0.689"" L x 0.374"" W (17.50mm x 9.50mm)","0.906"" (23.00mm)",-40°C ~ 65°C
http://www.illinoiscapacitor.com/pdf/seriesDocuments/DCN%20series.pdf,//media.digikey.com/Photos/Illinois%20Capacitor/MFG_DCR-Series-less22mm.JPG,1572-1118-ND,256DCN2R7Q,Illinois Capacitor,"CAP 25F -10%, +30% 2.7V T/H",4527,0,4.6,0,1,Bulk,DCN,Active,25F,"-10%, +30%",2.7V,30 mOhm,1000 Hrs @ 60°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","0.984"" (25.00mm)",-40°C ~ 60°C
http://www.elna.co.jp/en/capacitor/new/pdf/dhl_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DHL-5R5D104T.jpg,604-1158-ND,DHL-5R5D224T,Elna America,CAP 220MF -20% +80% 5.5V T/H,697,0,5.03,0,1,Bulk,DHL,Active,220mF,"-20%, +80%",5.5V,40 Ohm,1000 Hrs @ 85°C,PC Pins,Through Hole,"Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.374"" (9.50mm)",-40°C ~ 85°C
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvl_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DVL%20SERIES.JPG,604-1162-2-ND,DVL-5R5D224T-R5,Elna America,CAP 220MF 5.5V SURFACE MOUNT,1000,0,5.18332,0,250,Tape & Reel (TR),DVL,Active,220mF,"-20%, +80%",5.5V,45 Ohm,1000 Hrs @ 85°C,SMD (SMT) Tabs,Surface Mount,"Radial, Can - SMD",-,"0.492"" Dia (12.50mm)","0.413"" (10.50mm)",-40°C ~ 85°C
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvl_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DVL%20SERIES.JPG,604-1162-1-ND,DVL-5R5D224T-R5,Elna America,CAP 220MF 5.5V SURFACE MOUNT,1026,0,9.25,0,1,Cut Tape (CT),DVL,Active,220mF,"-20%, +80%",5.5V,45 Ohm,1000 Hrs @ 85°C,SMD (SMT) Tabs,Surface Mount,"Radial, Can - SMD",-,"0.492"" Dia (12.50mm)","0.413"" (10.50mm)",-40°C ~ 85°C
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dvl_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DVL%20SERIES.JPG,604-1162-6-ND,DVL-5R5D224T-R5,Elna America,CAP 220MF 5.5V SURFACE MOUNT,1026,0,Digi-Reel,0,1,Digi-Reel®,DVL,Active,220mF,"-20%, +80%",5.5V,45 Ohm,1000 Hrs @ 85°C,SMD (SMT) Tabs,Surface Mount,"Radial, Can - SMD",-,"0.492"" Dia (12.50mm)","0.413"" (10.50mm)",-40°C ~ 85°C
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABC0008+EECHW0D226+7+WW,"//media.digikey.com/photos/Panasonic%20Photos/HW%20SERIES%2037.0H,18.0D.jpg",P11346-ND,EEC-HW0D226,Panasonic Electronic Components,CAP 22F -20% +40% 2.3V T/H,745,0,5.23,0,1,Bulk,HW,Active,22F,"-20%, +40%",2.3V,100 mOhm @ 1kHz,1000 Hrs @ 70°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.457"" (37.00mm)",-25°C ~ 70°C
http://www.vishay.com/docs/28421/220edlcenycap.pdf,//media.digikey.com/Photos/Vishay%20BC%20Photos/MFG_ENYCAP-220-EDLC.jpg,4828PHBK-ND,MAL222091001E3,Vishay BC Components,EDLC-P 40F-2.7V-1831- POWER,758,0,5.65,0,1,Tray,ENYCAP™ 220 EDLC,Active,40F,"-20%, +50%",2.7V,12 mOhm,1000 Hrs @ 85°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.319"" (33.50mm)",-40°C ~ 85°C
http://industrial.panasonic.com/www-cgi/jvcr13pz.cgi?E+PZ+3+ABC0008+EECHW0D506+7+WW,"//media.digikey.com/photos/Panasonic%20Photos/HW%20SERIES%2037.0H,18.0D.jpg",P11066-ND,EEC-HW0D506,Panasonic Electronic Components,CAP 50F -20% +40% 2.3V T/H,1752,0,5.66,0,1,Bulk,HW,Active,50F,"-20%, +40%",2.3V,100 mOhm @ 1kHz,1000 Hrs @ 60°C,PC Pins,Through Hole,"Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.654"" (42.00mm)",-25°C ~ 60°C
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/Bus_Elx_DS_4308_PM_Series.pdf,//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PM-5R0V105-R.JPG,283-3015-ND,PM-5R0V105-R,Eaton,CAP 1F -20% +80% 5V T/H,8696,0,5.74,0,1,Bulk,PowerStor PM,Active,1F,"-20%, +80%",5V,200 mOhm,1000 Hrs @ 60°C,PC Pins,Through Hole,"Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","0.866"" (22.00mm)",-40°C ~ 60°C
