Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,//media.digikey.com/Photos/Nichicon%20Photos/JJL0E158MSEF.JPG,JJL0E158MSEFBB-ND,JJL0E158MSEFBB,Nichicon,CAP 1500F 2.5V 20% CHASSIS MOUNT,0,0,"252.54760","0","25","Bulk","EVerCAP® JL","Active","1500F","±20%","2.5V","1.8 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.024"" (26.00mm)","2.008"" Dia (51.00mm)","5.433"" (138.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,//media.digikey.com/Photos/Nichicon%20Photos/JJL0E158MSEF.JPG,JJL0E158MSEFBN-ND,JJL0E158MSEFBN,Nichicon,CAP 1500F 2.5V 20% CHASSIS MOUNT,0,0,"252.54760","0","25","Bulk","EVerCAP® JL","Active","1500F","±20%","2.5V","1.8 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.024"" (26.00mm)","2.008"" Dia (51.00mm)","5.433"" (138.00mm)","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/JL%20Series%20EVerCap.pdf,-,JJL0E168MSECBB-ND,JJL0E168MSECBB,Nichicon,CAP 1600F 2.5V 20% CHASSIS MOUNT,0,0,"259.37360","0","25","Bulk","EVerCAP® JL","Active","1600F","±20%","2.5V","2 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","0.866"" (22.00mm)","2.008"" Dia (51.00mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
//media.digikey.com/pdf/Data%20Sheets/Nichicon%20PDFs/JL%20Series%20EVerCap.pdf,-,JJL0E168MSECBN-ND,JJL0E168MSECBN,Nichicon,CAP 1600F 2.5V 20% CHASSIS MOUNT,0,0,"259.37360","0","25","Bulk","EVerCAP® JL","Active","1600F","±20%","2.5V","2 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","0.866"" (22.00mm)","2.008"" Dia (51.00mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,-,JJL0E178MSEF-ND,JJL0E178MSEF,Nichicon,CAP 1700F 2.5V 20% CHASSIS MOUNT,0,0,"297.32400","0","5","Bulk","EVerCAP® JL","Active","1700F","±20%","2.5V","1.7 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.024"" (26.00mm)","2.008"" Dia (51.00mm)","5.709"" (145.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjd.pdf,//media.digikey.com/photos/Nichicon%20Photos/JJD0E408MSEG.JPG,493-3327-ND,JJD0E408MSEG,Nichicon,CAP 4000F 20% 2.5V CHASSIS MOUNT,0,0,"311.70320","0","25","Bulk","EVerCAP® JJD","Not For New Designs","4000F","±20%","2.5V","2.2 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.126"" (28.60mm)","2.500"" Dia (63.50mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjd.pdf,//media.digikey.com/photos/Nichicon%20Photos/JJD0E408MSEG.JPG,JJD0E408MSEGBB-ND,JJD0E408MSEGBB,Nichicon,CAP 4000F 20% 2.5V CHASSIS MOUNT,0,0,"323.24800","0","5","Bulk","EVerCAP® JJD","Active","4000F","±20%","2.5V","2.2 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.126"" (28.60mm)","2.500"" Dia (63.50mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjd.pdf,//media.digikey.com/photos/Nichicon%20Photos/JJD0E408MSEG.JPG,JJD0E408MSEGBN-ND,JJD0E408MSEGBN,Nichicon,CAP 4000F 20% 2.5V CHASSIS MOUNT,0,0,"323.24800","0","5","Bulk","EVerCAP® JJD","Active","4000F","±20%","2.5V","2.2 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.126"" (28.60mm)","2.500"" Dia (63.50mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjd.pdf,-,JJD0E608MSEH-ND,JJD0E608MSEH,Nichicon,CAP 6000F 2.5V 20% CHASSIS MOUNT,0,0,"326.04800","0","15","Bulk","EVerCAP® JJD","Not For New Designs","6000F","±20%","2.5V","2.2 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.252"" (31.80mm)","3.000"" Dia (76.20mm)","6.614"" (168.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,-,JJL0E208MSEF-ND,JJL0E208MSEF,Nichicon,CAP 2000F 20% 2.5V CHASSIS MOUNT,0,0,"420.54600","0","5","-","EVerCAP® JJL","Active","2000F","±20%","2.5V","1.5 Ohm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.024"" (26.00mm)","2.008"" Dia (51.00mm)","6.693"" (170.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,-,JJL0E208MSEFBB-ND,JJL0E208MSEFBB,Nichicon,CAP 2000F 20% 2.5V CHASSIS MOUNT,0,0,"420.54600","0","5","-","EVerCAP® JJL","Active","2000F","±20%","2.5V","1.5 Ohm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.024"" (26.00mm)","2.008"" Dia (51.00mm)","6.693"" (170.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,-,JJL0E208MSEFBN-ND,JJL0E208MSEFBN,Nichicon,CAP 2000F 20% 2.5V CHASSIS MOUNT,0,0,"420.54600","0","5","-","EVerCAP® JJL","Active","2000F","±20%","2.5V","1.5 Ohm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.024"" (26.00mm)","2.008"" Dia (51.00mm)","6.693"" (170.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,//media.digikey.com/photos/Nichicon%20Photos/JJL0E268MSEG.JPG,493-3335-ND,JJL0E268MSEG,Nichicon,CAP 2600F 20% 2.5V CHASSIS MOUNT,0,0,"421.58240","0","25","Bulk","EVerCAP® JL","Not For New Designs","2600F","±20%","2.5V","1.3 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.126"" (28.60mm)","2.500"" Dia (63.50mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,//media.digikey.com/photos/Nichicon%20Photos/JJL0E268MSEG.JPG,JJL0E268MSEGBB-ND,JJL0E268MSEGBB,Nichicon,CAP 2600F 2.5V 20% CHASSIS MOUNT,0,0,"421.58240","0","25","Bulk","EVerCAP® JL","Active","2600F","±20%","2.5V","1.3 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.126"" (28.60mm)","2.500"" Dia (63.50mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
http://nichicon-us.com/english/products/pdfs/e-jjl.pdf,//media.digikey.com/photos/Nichicon%20Photos/JJL0E268MSEG.JPG,JJL0E268MSEGBN-ND,JJL0E268MSEGBN,Nichicon,CAP 2600F 2.5V 20% CHASSIS MOUNT,0,0,"421.58240","0","25","Bulk","EVerCAP® JL","Active","2600F","±20%","2.5V","1.3 mOhm","2000 Hrs @ 60°C","Screw Terminals","Chassis Mount","Radial, Can - Screw Terminals","1.126"" (28.60mm)","2.500"" Dia (63.50mm)","6.024"" (153.00mm)","-25°C ~ 60°C"
http://www.maxwell.com/images/documents/160VModule_DS_3000246_6.pdf,-,BMOD0006E160B02-ND,BMOD0006 E160 B02,Maxwell Technologies Inc.,CAP 5.8F 160V M5 THREAD,0,0,"995.90333","0","3","Bulk","-","Active","5.8F","-","160V","240 mOhm","1500 Hrs @ 65°C","Screw Terminals","Chassis Mount","-","-","14.448"" L x 9.251"" W (367.00mm x 235.00mm)","3.138"" (79.7mm)","-40°C ~ 65°C"
